Cruce_ID;Raza_materna;Raza_paterna;Tipo_esquema;Objetivo_principal;Rendimiento_canal_%;Marmoleo;Terneza;Crecimiento;Facilidad_parto;Rusticidad;Apto_pasto;Apto_altitud_frio;Notas
CR001;Avileña;Angus;F1 (maternal x terminal);Calidad gourmet a pasto (marmoleo/terneza) manteniendo rusticidad;55-59;Alto;Alto;Medio-alto;Alta;Muy alta;Muy alta;Muy alta;"Muy buen cruce para Segovia montaña; retener hembras F1 como madres."
CR002;Avileña;Limusina;F1 (maternal x terminal);Máximo rendimiento canal y conformación con buena adaptación;58-63;Medio;Medio;Alto;Alta;Muy alta;Muy alta;Muy alta;"Clásico mejorante sobre autóctona; carne más magra, gran canal."
CR003;Avileña;Charolesa;F1 (maternal x terminal);Máximo crecimiento y peso canal;58-63;Medio;Medio;Muy alto;Media;Muy alta;Alta;Alta;"Vigilar pesos al nacer; usar toros con facilidad de parto."
CR004;Avileña;Hereford;F1 (maternal x terminal);Calidad a pasto, docilidad y buen marmoleo moderado;55-59;Medio-alto;Medio-alto;Medio;Alta;Muy alta;Muy alta;Muy alta;Muy buen cruce “pasto” con buen sabor.
CR005;Avileña;Salers;F1 (maternal x terminal);Rusticidad extrema + maternalidad, terneros vigorosos;54-58;Bajo-medio;Medio;Medio;Alta;Muy alta;Muy alta;Muy alta;"Buen cruce para zonas duras; canal media."
CR006;Avileña;Aubrac;F1 (maternal x terminal);Rusticidad y eficiencia a pasto con canal correcta;54-58;Bajo-medio;Medio;Medio;Alta;Muy alta;Muy alta;Muy alta;Ideal para mantenimiento en montaña y partos fáciles.
CR007;Avileña;Rubia Gallega;F1 (maternal x terminal);Mejorar calidad y sabor, buena canal sin perder demasiado rústico;54-58;Medio-alto;Medio;Medio-alto;Media;Alta;Alta;Alta;"Interesante para maduración y sabor; probar adaptación."
CR008;Avileña;Wagyu;F1 (maternal x terminal);Producto gourmet (marmoleo alto);54-58;Muy alto;Alto;Bajo-medio;Media;Alta;Media;Media;"Solo recomendable si se hace acabado/terminación cuidada; crecimiento lento."
CR101;Limusina;Angus;F1 (maternal x terminal);Equilibrio canal alta + mejora de marmoleo;58-63;Medio-alto;Medio-alto;Alto;Alta;Alta;Alta;Alta;Muy buen híbrido para subir calidad sin perder rendimiento.
CR102;Limusina;Hereford;F1 (maternal x terminal);Carne de pasto con buena canal y docilidad;57-61;Medio;Medio;Medio;Alta;Alta;Alta;Alta;"Cruce robusto para extensivo; buena uniformidad."
CR103;Limusina;Charolesa;F1 (terminal fuerte);Kilos máximos de canal en terneros;60-65;Bajo-medio;Medio;Muy alto;Media;Media;Media;Media;"Solo si hay buena oferta forrajera/suplementación; vigilar partos."
CR104;Limusina;Wagyu;F1 (gourmet);Subir marmoleo manteniendo musculo;57-61;Muy alto;Alto;Medio;Media;Media;Media;Media;"Para lotes pequeños premium; puede requerir acabado especial."
CR201;Angus;Charolesa;Terminal (padre pesado);Canal grande manteniendo base de calidad;58-62;Medio;Medio;Muy alto;Media;Alta;Alta;Alta;"Muy usado: madres Angus dan facilidad de parto; canal sube mucho."
CR202;Angus;Limusina;Terminal (padre muscular);Canal alta con algo más de marmoleo que Lim puro;58-62;Medio-alto;Medio-alto;Alto;Alta;Alta;Alta;Alta;Excelente para premium con rendimiento.
